Designator,Mid X,Mid Y,Rotation,Layer
C1,151.56,-51.25,0.0,top
C2,179.5,-50.75,0.0,top
C3,179.5,-61.25,0.0,top
C4,179.5,-57.75,0.0,top
C5,179.5,-54.25,0.0,top
D1,177.25,-68.77,90.0,top
D2,156.25,-68.73,90.0,top
D3,163.25,-68.77,90.0,top
D4,170.25,-68.77,90.0,top
J1,152.305,-60.25,90.0,top
R1,150.25,-57.0,180.0,top
R2,150.25,-54.5,180.0,top
R3,169.81,-52.75,180.0,top
R4,169.81,-60.25,180.0,top
R5,169.81,-57.75,180.0,top
R6,169.81,-55.25,180.0,top
U1,160.0,-57.25,0.0,top
